Volcano Name,Latitude,Longitude
Taranaki,-39.3,174.07
Whakaari/White Island,-37.52,177.18
Okataina,-38.1569,176.5069
Taupo,-38.7811,175.893
Tongariro,-39.157,175.632
Ruapehu,-39.28,175.57
Clark,-36.446,177.839
Tangaroa,-36.321,178.028
Rumble V,-36.142,178.196
Rumble IV,-36.13,178.05
Rumble III,-35.745,178.478
Rumble II West,-35.353,178.527
Healy,-35.004,178.973
Brothers,-34.875,179.0667
Wright,-31.85,-179.18
Havre Seamount,-31.08,-179.033
Curtis Island,-30.543,-178.556
Macauley,-30.21,-178.475
Giggenbach,-30.036,-178.712
Raoul Island,-29.27,-177.92
Monowai,-25.887,-177.188
Unnamed,-24.8,-177.02
Unnamed,-21.338,-175.65
Unnamed,-21.15,-175.75
Unnamed,-20.852,-175.55
Hunga Tonga-Hunga Ha'apai,-20.5532,-175.3841
Fonuafo'ou,-20.32,-175.42
Tofua,-19.75,-175.07
Kao,-19.668,-175.016
Lateiki,-19.18,-174.87
Home Reef,-18.992,-174.775
Late,-18.806,-174.65
Unnamed,-18.325,-174.365
Fonualei,-18.023,-174.317
Tafahi,-15.854,-173.747
Curacoa,-15.62,-173.67
Niuafo'ou,-15.6,-175.63
Dugong,-15.431,-175.725
Lobster,-15.333,-176.283
Tafu-Maka,-15.37,-174.23
West Mata,-15.1,-173.75
Niuatahi,-15.3675,-174.0028
Vailulu'u,-14.215,-169.058
Ta'u,-14.23,-169.454
Ofu-Olosega,-14.175,-169.618
Tutuila,-14.2903,-170.7019
Malumalu,-14.601,-169.787
Upolu,-13.935,-171.72
Savaii,-13.612,-172.525
Taveuni,-16.8412,-179.9644
Nabukelevu,-19.1181,177.9815
St. Andrew Strait,-2.38,147.35
Central Bismarck Sea,-3.03,147.78
Blup Blup,-3.507,144.605
Kadovar,-3.608,144.588
Bam,-3.613,144.818
Manam,-4.08,145.037
Karkar,-4.647,145.976
Hankow Reef,-4.883,146.717
Long Island,-5.358,147.12
Umboi,-5.592,147.892
Ritter Island,-5.519,148.115
Sakar,-5.4098,148.0836
Langila,-5.525,148.42
Dakataua,-5.0455,150.0996
Bola,-5.141,150.038
Garua Harbour,-5.3,150.07
Krummel-Garbuna-Welcker,-5.416,150.027
Lolo,-5.466,150.509
Witori,-5.5745,150.5161
Sulu Range,-5.5,150.942
Hargy,-5.33,151.1
Bamus,-5.2,151.23
Ulawun,-5.05,151.33
Lolobau,-4.9156,151.1617
Rabaul,-4.2459,152.1937
Tavui,-4.1089,152.2134
Lamington,-8.95,148.15
Hydrographers Range,-9,148.37
Managlase Plateau,-9.08,148.33
Victory,-9.2003,149.072
Sessagara Hills,-9.5542,149.1278
Goodenough,-9.358,150.246
Iamalele,-9.5056,150.5239
Dawson Strait Group,-9.62,150.88
Balbi,-5.9156,155.0008
Billy Mitchell,-6.0898,155.2254
Bagana,-6.137,155.196
Takuan Group,-6.442,155.608
Loloru,-6.52,155.62
Simbo,-8.292,156.52
Kana Keoki,-8.75,157.03
Coleman Seamount,-8.841,157.16
Kavachi,-8.991,157.979
New Georgia at 8.9°S,-8.92,158.03
Savo,-9.1324,159.8119
Tinakula,-10.386,165.804
Motlav,-13.67,167.67
Suretamatai,-13.8,167.47
Gaua,-14.281,167.514
Ambae,-15.389,167.835
Ambrym,-16.25,168.12
Lopevi,-16.507,168.346
East Epi,-16.6797,168.3893
Kuwae,-16.8304,168.5227
Nguna-Emau,-17.4522,168.353
Traitor's Head,-18.754,169.238
Yasur,-19.532,169.447
Gemini-Oscostar,-20.957,170.13
Matthew Island,-22.33,171.32
Hunter Island,-22.4,172.05
Newer Volcanics Province,-37.77,142.5
McBride Volcanic Province,-18.367,144.567
Narcondum,13.43,94.28
Barren Island,12.278,93.858
Peuet Sague,4.903,96.289
"Telong, Bur ni",4.769,96.821
Singkut,3.2379,98.5127
Sinabung,3.17,98.392
Toba,2.6083,98.8417
Sorikmarapi,0.686,99.539
Malintang,0.47,99.67
Talakmau,0.079,99.98
Marapi,-0.38,100.474
Tandikat-Singgalang,-0.39,100.331
Talang,-0.979,100.681
Kerinci,-1.697,101.264
Sumbing,-2.414,101.728
Kaba,-3.522,102.615
Dempo,-4.016,103.121
Patah,-4.257,103.306
Ranau,-4.871,103.925
Suoh,-5.25,104.27
Krakatau,-6.1009,105.4233
Pulosari,-6.343,105.978
Karang,-6.268,106.05
Perbakti-Gagak,-6.75,106.675
Salak,-6.716,106.733
Gede-Pangrango,-6.786,106.983
Patuha,-7.162,107.4
Tangkuban Parahu,-6.77,107.6
Papandayan,-7.32,107.73
Kendang,-7.245,107.709
Guntur,-7.143,107.841
Tampomas,-6.7639,107.9612
Galunggung,-7.25,108.058
Talagabodas,-7.208,108.07
Ciremai,-6.895,108.408
Slamet,-7.242,109.208
Dieng Volcanic Complex,-7.2,109.879
Sundoro,-7.302,109.996
Sumbing,-7.384,110.07
Merbabu,-7.454,110.44
Merapi,-7.54,110.446
Lawu,-7.625,111.192
Wilis,-7.808,111.758
Kelud,-7.935,112.314
Kawi-Butak,-7.92,112.45
Arjuno-Welirang,-7.733,112.575
Penanggungan,-7.616,112.62
Semeru,-8.108,112.922
Tengger Caldera,-7.942,112.95
Lamongan,-7.981,113.341
Iyang-Argapura,-7.97,113.57
Raung,-8.119,114.056
Ijen,-8.058,114.242
Baluran,-7.85,114.37
Buyan-Bratan,-8.283,115.133
Batur,-8.2403,115.3775
Agung,-8.343,115.508
Rinjani,-8.42,116.47
Tambora,-8.25,118
Sangeang Api,-8.2,119.07
"Sano, Wai",-8.7345,120.0074
Ranakah,-8.637,120.5302
Inierie,-8.875,120.95
Inielika,-8.73,120.98
Ebulobo,-8.817,121.191
Iya,-8.891,121.641
Kelimutu,-8.77,121.82
Paluweh,-8.32,121.708
Egon,-8.676,122.455
Lewotobi,-8.542,122.775
Iliboleng,-8.342,123.258
Lewotolok,-8.274,123.508
Ililabalekan,-8.55,123.38
Iliwerung,-8.532,123.573
"Tara, Batu",-7.791,123.585
Sirung,-8.4972,124.1306
Wurlali,-7.125,128.675
Teon,-6.976,129.144
Nila,-6.73,129.5
Serua,-6.312,130.017
Manuk,-5.543,130.303
Banda Api,-4.523,129.881
Colo,-0.162,121.601
Ambang,0.75,124.42
Soputan,1.112,124.737
Lokon-Empung,1.3644,124.7992
Mahawu,1.352,124.865
Klabat,1.454,125.031
Tangkoko-Duasudara,1.518,125.185
Ruang,2.3058,125.3671
Karangetang,2.781,125.407
Banua Wuhu,3.1463,125.4422
Awu,3.689,125.447
Tarakan,1.832,127.825
Dukono,1.6992,127.8783
Tobaru,1.63,127.67
Ibu,1.488,127.63
Gamkonora,1.38,127.53
Todoko-Ranu,1.2389,127.4556
